weight,length,temp,hum
849.89,47.68,17.21,57.12
783.5,43.69,19.56,67.03
981.19,54.09,31.57,37.44
859.41,48.48,21,44.64
184.52,19.27,20.44,40.94
720.14,42.2,20.88,51.44
447.48,29.39,22.23,55
218.63,20.27,20.38,55.14
931.09,51.23,17.89,61.65
187.87,19.1,23.87,39.55
608.89,37.08,21.61,56.87
982.72,54.53,21.36,35.77
554.84,35.19,19.39,72.78
798.06,46.06,25.5,69.29
908.16,49.79,23.73,60.28
618.55,39.48,23.64,30.96
163.26,16.95,21.9,60.22
398.28,28.53,16.3,48.15
392.62,27.79,21.55,66.13
84.26,13.87,26.43,55.64
989.68,54.97,26.34,76.85
713.21,42.5,24.48,61.46
666.69,41.27,27.26,36.02
160.06,18.13,22.68,25
256.75,22.5,26.17,67.15
456.51,29.49,16.27,52.14
749.87,44.07,18.22,41.67
351.19,24.35,21.15,59.22
578.17,35.69,24.43,63.77
767.56,45.87,25.54,46.61
811.41,47.47,19.59,50.99
88.14,14.28,26.51,53.15
500.46,32.48,20.44,64.33
665.55,39.57,25.76,59.63
774.76,43.31,22.37,59.42
863.72,47.99,19.27,54.26
193.14,17.8,18.94,40.4
911.75,51.45,26.35,58.74
523.88,34.37,26.35,53.5
669.81,38.13,21.29,45.84
571.69,35.09,21.76,58.15
985.35,53.67,21.42,57.75
137.13,18.24,19.7,42.25
858.57,48.77,21.29,56.09
207.61,18.26,23.88,69.05
671.4,39.22,19.42,56.66
724.41,42.9,24.72,51.55
241.69,19.81,22.8,46.65
518.63,33.94,24.07,59.97
925,51.4,21.12,58.16
703.28,42,23.29,64.94
73.58,13.13,18.1,65.1
84.35,13.84,17.79,54.42
847.12,47.67,28.85,36.14
658.84,39.72,23.09,46.63
587.48,34.95,24.99,80.12
327.46,24.91,24.66,27.5
367.42,26.6,24.6,33.92
232.02,18.86,21.18,65.28
102.79,14.09,17.71,58.55
649.29,39.7,22.84,65.13
316.58,24.42,19.01,50.54
630.97,38.79,21.37,47.91
104.37,15.13,23.26,55.37
889.94,49.43,27.52,47.15
248.6,20.47,22.04,40.86
794.88,45.67,20.34,33.91
792.9,47.49,29.6,38.05
348.73,25.39,25.66,51.98
221.88,19.21,24.25,46.95
943.56,52.23,25.53,59.1
990.81,54.37,18.24,54.2
857.76,49.64,31.51,67
485.63,31.68,25.17,53.87
60.19,13.34,29.41,66.88
345.41,24.59,17.22,60.27
747.89,44.58,25.13,85
271.21,22.92,34.66,62.31
348.2,23.61,21.49,75.73
995.69,55.62,23.95,60.27
238.29,20.46,26,56.09
350.4,26.55,23.63,41.65
948.72,53.35,26.49,41.84
734.66,42.81,18.1,61.29
158.4,17.11,22.28,55.65
892.08,50.57,24.95,49.34
607.77,38.64,20.1,59.6
724.1,40.9,22.54,29.23
873.46,50.51,29.89,27.28
630.44,38.83,21.66,51.8
757.93,43.21,27.89,57.12
515.69,33.27,19.04,58.65
755.56,43.68,28.2,36.59
635.49,38.03,19.74,69.47
856.94,48.31,26.11,39.08
575.45,35.52,18.57,63.42
529.55,32.89,18.26,53.23
55.16,11.18,23.51,44.88
233.39,19.97,24.46,77.52
548.83,34.47,18.91,64.39
673.46,40.97,15.2,30.4
101.78,14.05,20.95,58.79
607.12,37.2,15,55.86
281.48,21.57,21.34,30.24
396.67,26.61,16.09,75.79
129.91,16.2,19.75,74.39
276.63,21.94,26.52,65.99
652.9,39.63,23.65,57.79
783.5,44.2,20.62,75.93
851.41,46.51,20.55,47.91
149.73,17.29,26.73,46.08
185.87,17.04,24.22,59.05
323.82,23.51,22.98,61.36
562.55,36.6,21.05,64.77
500.43,32.18,17.9,46.34
844.49,46.82,28.44,64.01
438.34,29.9,25.84,60.66
593.79,35.59,23.47,80.55
373.56,26.1,19.71,42.3
307.22,24,24.65,44.76
981.03,52.79,25.97,44.48
163.69,17.2,26.36,61.99
852.25,48.24,30.07,57.79
508.44,32.15,23.52,57.81
197.45,18.32,21.59,57.74
648.51,39.87,22.38,41.99
503.63,33.22,24.72,35.78
655.71,40.22,22.44,62.09
644.71,39.81,20.35,34.06
224.36,19.91,25.6,48.65
921.47,51.93,22.37,57.43
336.28,23.74,23.89,77.04
118.46,16.36,16.25,52.16
371.53,27,22.78,67.82
654.59,39.51,23.93,37.4
92.42,14.31,30.99,68.86
915.11,50.8,26.76,62.73
403.65,27.53,22.18,42.37
532.94,34.55,21.72,43.16
462.09,31.12,22.11,42.84
717.88,43.53,28.22,56.29
56.95,13.44,22.53,74.25
773.36,45.13,29.14,45.47
714.79,43.96,23.27,40.94
459.85,29.64,24.83,60.76
90.23,15.31,25.46,46.25
99.08,14.98,21.74,40.37
960.51,53.09,24.74,69.13
845.51,47.67,22.61,56.83
537.1,35.98,21.47,60.45
342.16,26.96,29.32,52.54
652.08,39.22,23.88,70.71
809.88,47.51,24.79,53.76
625.63,37.79,22.93,44.46
810.92,47.29,27.51,49.19
339.47,26.89,26.87,38.5
371.91,26.9,24.78,70.95
126.05,14.69,17.49,62.65
846.08,46.97,19.16,71.05
593.84,35.26,19.32,53.83
475.8,30.13,23.69,82.93
495.86,32.75,17.12,55.39
428.62,30.43,24.54,45.13
639.34,38.18,27.43,39.98
441.22,29.3,25.34,48.34
433.83,28.11,21.12,52.06
620.8,38.63,21.64,70.6
666.77,40.22,24.16,50.58
971.32,53.57,25.57,64.12
314.17,23.91,19.54,53.39
599.12,37.3,25.72,85
544.26,35.08,24.92,51.49
529.3,33.06,20.28,57.91
177.39,19.69,28.98,50.49
914.07,52.67,19.14,53.17
745.79,43.77,21.47,49.34
475.83,29.54,19.29,48.78
214.47,20.86,19.64,53.05
780.2,45.2,26.93,58.24
468.08,31.22,28.85,60.51
787.93,44.14,18.84,71.89
191.02,18.1,17.17,75.74
686.69,39.93,23.63,72.71
422.94,27.61,21.44,73.13
105.2,14.59,18.86,65.16
835.81,45.88,25.95,51.06
214.34,20.26,19.38,58.94
418.45,29.37,23.93,55.8
528.45,34.43,23.05,55.63
716.9,42.47,23.57,73.88
205.56,19.13,23.72,52.71
747.07,44.09,22.35,46.54
168.68,17.95,22.26,52.31
965.05,53.17,17.53,58.32
264.31,21.65,18.47,58.8
195.93,18.58,19.2,50.99
931.41,52.37,24.87,51.07
519.43,32.76,21.31,72.66
314.12,24.43,24.14,49.51
63.95,12.11,21.57,65.37
