weight,length,temp,hum
405.81,30.94,19.73,70.59
953.18,57.92,25.3,61.36
745.39,47.35,24.21,63.18
618.73,39.94,20.93,60.11
198.22,17.77,24.85,64.53
198.19,17.91,21.37,64.74
105.18,14.09,16.65,70.2
872.87,52.72,25.88,58.0
621.06,41.2,20.29,68.0
722.67,48.44,25.3,70.51
69.56,12.7,22.31,65.61
971.41,58.62,22.78,65.24
840.82,53.28,26.45,65.42
251.72,20.74,21.54,63.94
222.73,17.27,22.39,66.78
224.23,18.5,25.09,64.5
339.03,23.66,20.42,66.68
548.52,36.41,20.41,61.71
460.35,32.37,19.54,66.35
326.67,27.36,18.92,69.4
631.26,41.76,22.59,71.59
182.52,17.41,20.95,71.22
327.54,26.42,21.66,76.44
398.04,26.12,23.46,60.81
483.27,33.8,21.93,69.44
795.92,50.22,27.41,62.59
239.69,19.04,19.78,77.73
538.52,37.08,29.03,57.68
612.79,40.3,24.24,59.45
94.13,12.49,17.42,65.28
627.17,41.52,20.09,54.86
212.0,21.86,21.48,63.47
111.8,14.12,19.11,63.67
951.44,57.75,26.49,62.38
967.35,57.84,25.99,63.51
817.98,50.17,23.73,72.65
339.38,27.06,18.92,71.62
142.79,14.57,16.07,65.86
700.02,44.7,22.08,59.87
468.14,31.98,23.95,66.68
165.94,17.28,20.53,60.06
520.42,36.2,19.01,75.44
82.67,13.64,19.93,73.08
913.85,54.87,25.45,59.86
295.84,23.23,18.57,58.59
679.4,42.64,23.46,70.57
346.13,25.69,21.22,65.24
544.06,37.4,19.41,72.22
569.37,38.5,23.31,56.23
225.61,18.73,21.76,62.94
971.11,59.35,27.53,61.12
786.38,50.51,26.35,62.42
942.52,57.97,21.21,61.78
900.09,57.66,22.06,66.89
618.0,39.22,24.0,58.41
925.78,54.64,25.84,61.28
134.07,12.94,21.09,67.11
236.18,22.01,30.05,64.74
92.97,13.7,20.99,70.24
359.06,26.62,23.99,58.9
419.24,30.11,23.9,56.72
307.78,22.92,22.48,71.75
837.3,54.85,23.24,65.09
388.92,28.47,23.23,61.04
316.89,25.04,18.97,74.67
565.56,38.63,21.8,65.47
183.88,18.38,18.89,73.24
812.09,50.73,24.08,63.47
120.82,13.42,25.51,74.86
987.54,61.09,20.26,73.1
783.63,51.03,25.42,61.37
238.78,22.4,16.4,73.16
55.25,12.85,18.15,71.29
824.69,50.51,26.67,68.77
721.51,44.4,23.49,58.84
742.56,47.11,20.76,68.26
782.71,49.41,21.91,69.49
120.34,15.6,21.42,57.61
390.54,26.51,19.52,60.53
160.08,18.2,20.5,56.5
869.95,53.18,24.33,61.49
642.13,41.41,21.22,68.51
364.35,25.87,26.55,70.87
110.38,11.83,21.25,66.88
345.43,27.56,16.01,76.3
358.92,26.85,21.62,58.69
743.13,45.18,21.8,55.84
655.68,40.63,25.07,62.88
892.85,54.53,22.38,65.57
498.6,36.23,21.7,64.97
163.61,16.22,21.24,56.01
727.58,44.08,25.53,62.28
772.75,48.17,20.64,58.27
583.21,38.45,21.66,68.25
782.42,45.89,22.51,65.76
519.11,35.19,20.48,60.93
546.6,36.05,26.69,60.18
456.16,32.65,22.75,59.5
74.15,14.17,16.29,68.53
152.5,17.41,22.21,70.72
79.86,11.83,24.78,60.08
654.59,40.86,25.51,65.48
348.64,29.58,17.29,64.92
533.14,36.05,20.99,61.39
912.19,55.24,27.64,60.69
286.83,23.09,18.95,61.83
439.86,31.26,22.75,62.08
767.77,47.58,25.54,56.61
267.36,21.63,18.29,77.19
123.13,13.86,19.59,67.39
325.26,25.3,15.0,65.18
203.16,18.16,17.66,68.91
933.21,55.89,23.97,62.25
817.71,51.16,20.79,63.49
651.73,41.63,26.99,65.37
877.89,56.23,20.69,68.24
813.49,47.36,22.78,61.06
227.24,21.26,20.69,63.53
897.93,55.9,27.99,59.74
562.38,34.96,18.78,54.75
817.07,49.68,26.81,54.31
901.29,54.93,24.43,69.54
352.1,25.13,18.66,75.17
154.55,15.2,21.08,65.2
266.54,20.75,21.1,68.99
455.75,34.2,20.23,67.48
827.11,53.01,24.14,78.45
867.69,55.21,23.24,68.94
56.6,11.86,19.62,66.76
535.21,34.52,23.87,59.28
446.54,30.45,25.64,55.49
261.0,22.48,17.47,68.77
163.87,15.05,25.32,60.73
370.73,28.48,16.34,60.82
945.76,56.94,24.3,59.4
357.04,26.2,22.61,59.75
542.85,37.56,22.96,72.88
717.87,46.44,21.75,68.87
395.45,28.41,20.85,65.79
973.19,60.67,23.61,70.26
964.32,57.2,23.31,63.4
289.19,23.85,22.86,60.94
522.39,36.31,23.03,72.09
335.83,25.45,19.28,69.41
320.6,25.12,23.17,59.82
85.04,10.99,20.28,66.07
629.09,41.8,24.81,58.97
527.55,35.2,23.74,57.22
98.9,12.66,17.52,72.85
314.71,26.06,19.49,76.23
912.85,54.26,26.35,54.81
277.58,20.94,22.19,68.4
187.65,16.02,20.07,63.55
514.98,35.71,22.38,62.35
986.37,57.33,28.11,57.83
279.95,24.86,19.2,62.6
688.53,41.47,24.5,63.55
773.54,50.39,23.14,59.51
275.76,22.84,20.11,67.88
741.81,46.45,26.2,62.13
399.39,28.25,23.46,63.45
650.69,42.27,24.94,58.69
651.85,41.76,26.17,59.78
558.99,38.78,22.41,68.42
135.78,15.3,21.52,68.81
843.54,52.13,23.29,58.5
354.74,26.23,21.94,65.96
227.19,19.98,20.04,70.46
88.74,13.02,19.77,58.89
611.35,37.99,24.16,66.41
693.69,42.79,21.12,61.5
65.76,12.34,24.63,67.97
536.49,36.45,19.7,62.11
265.17,21.75,17.56,58.68
662.91,42.25,25.87,54.63
215.65,19.75,22.27,65.97
706.39,44.26,24.8,64.42
417.4,28.85,23.08,60.24
939.89,57.44,24.61,65.7
180.64,16.34,17.84,59.52
374.01,28.18,21.43,65.3
157.8,14.28,18.25,61.66
928.46,57.24,27.01,58.2
883.47,54.76,23.93,63.22
295.04,23.88,18.71,62.79
676.98,44.66,22.26,62.43
826.36,53.31,24.99,67.71
577.44,39.55,21.06,62.31
553.17,35.11,20.26,69.8
279.76,21.12,21.29,60.33
138.45,14.58,20.44,69.43
902.35,55.63,23.15,70.48
905.4,55.44,23.25,50.86
651.45,41.1,23.49,59.89
372.08,28.05,17.61,70.24
381.75,27.35,17.77,66.24
739.66,46.23,21.64,66.3
902.25,53.34,23.88,59.93
892.73,53.44,25.13,62.84
790.88,47.34,27.43,60.9
